"","s1"
"1",114259.958173052
"2",146434.469471831
"3",167861.483218738
"4",195611.321646021
"5",184627.143870698
"6",175306.305450933
"7",193487.720274528
"8",171433.250948751
"9",193587.220749447
"10",114173.847265415
"11",203401.379338008
"12",117433.739686427
"13",110170.194918468
"14",166273.752783807
"15",129936.239177704
"16",335052.666959291
"17",240095.772505007
"18",284144.304352205
"19",269184.657481431
"20",457296.022277404
"21",304530.458960857
"22",214124.519935401
"23",171018.088079658
"24",174782.354735726
"25",201360.576350334
"26",201759.711424583
"27",286537.010595581
"28",247168.455118275
"29",175464.627377552
"30",200244.164983118
"31",195574.323119397
"32",96554.76871506
"33",209115.462921
"34",291931.808704979
"35",285783.532817022
"36",218738.118306027
"37",172837.511296426
"38",161996.390107556
"39",171114.638941406
"40",158075.135459175
"41",167240.531100157
"42",157586.409842194
"43",261346.796238853
"44",242544.337769697
"45",219392.497667211
"46",194556.400134279
"47",237854.572344087
"48",190662.399814825
"49",161413.88529965
"50",139673.738203601
"51",136884.553322073
"52",159897.804868339
"53",154101.467246571
"54",156504.024728297
"55",203215.759633692
"56",152835.573791665
"57",169942.233161305
"58",132842.136014277
"59",216364.415843476
"60",120829.569828567
"61",116964.888777541
"62",176390.607246218
"63",98020.9666395954
"64",114296.741538073
"65",111053.828518354
"66",113193.352366872
"67",105940.586474208
"68",151100.677142524
"69",133636.003355341
"70",194134.339846094
"71",117046.825289448
"72",105869.464422009
"73",149574.270010998
"74",128917.854894743
"75",145142.911730815
"76",107386.83310956
"77",72358.5195116285
"78",173265.37054017
"79",206630.914448036
"80",100037.941756765
"81",143562.291881228
"82",132867.828283523
"83",178544.709321395
"84",94916.6635638623
"85",122607.129752515
"86",144092.977890638
"87",130429.434595069
"88",134064.429874423
"89",119449.615273625
"90",127804.359476105
"91",120153.681118261
"92",123524.577588199
"93",133319.498193732
"94",126704.463325447
"95",155254.951526535
"96",89761.0740013025
"97",98770.6396393896
"98",103423.029624077
"99",76414.756976367
"100",130691.446267171
"101",116869.496821599
"102",129981.896451745
"103",113333.334741688
"104",161195.73159924
"105",147343.478381325
"106",235642.57002995
"107",84959.4638737471
"108",209114.208445668
"109",110273.318437948
"110",148029.238775857
"111",118078.698879758
"112",138358.491238111
"113",224728.71094587
"114",118974.431226196
"115",203412.018421932
"116",254978.626699046
